Position	iESk_ind1	iESk_ind2	iESk_ind3	iESk_ind4	iESk_ind5	iESk_ind6	iESk_ind7	iESk_ind8	iESk_ind9	iESk_ind10	
13233.000000	1472.000000	577.166667	577.166667	1695.444444	1444.166667	531.555556	530.500000	0.000000	531.555556	531.555556	
13621.000000	1472.000000	577.166667	577.166667	1695.444444	1444.166667	531.555556	530.500000	0.000000	531.555556	531.555556	
18007.000000	1324.800000	519.450000	519.450000	1525.900000	1299.750000	478.400000	477.450000	220.300000	478.400000	478.400000	
18008.000000	1472.000000	577.166667	577.166667	1695.444444	1444.166667	531.555556	0.000000	244.777778	531.555556	531.555556	
18026.000000	2208.000000	865.750000	865.750000	2543.166667	2166.250000	0.000000	1410.666667	0.000000	0.000000	0.000000	
18370.000000	1324.800000	519.450000	519.450000	1642.750000	1299.750000	1893.900000	846.400000	414.550000	828.300000	414.550000	
18485.000000	1656.000000	0.000000	0.000000	2053.437500	1624.687500	2367.375000	1058.000000	518.187500	1035.375000	518.187500	
26202.000000	1656.000000	10699.312500	568.187500	2053.437500	1624.687500	2369.250000	1058.000000	0.000000	1035.375000	0.000000	
26204.000000	1472.000000	9510.500000	505.055556	1825.277778	1444.166667	2106.000000	940.444444	0.000000	920.333333	30.888889	
26213.000000	1472.000000	9510.500000	505.055556	1825.277778	1444.166667	2106.000000	940.444444	0.000000	920.333333	30.888889	
26248.000000	1472.000000	9510.500000	505.055556	1825.277778	0.000000	2106.000000	940.444444	27.833333	920.333333	30.888889	
26714.000000	0.000000	17118.900000	909.100000	3285.500000	12114.600000	3790.800000	0.000000	0.000000	0.000000	0.000000	
26730.000000	34.300000	8559.450000	454.550000	1642.750000	6057.300000	1895.400000	1.950000	34.300000	34.300000	1.950000	
26753.000000	42.875000	10699.312500	568.187500	2053.437500	7571.625000	2369.250000	0.000000	42.875000	42.875000	0.000000	
27025.000000	49.000000	12227.785714	0.000000	2346.785714	8653.285714	2707.714286	0.000000	49.000000	49.000000	0.000000	
27105.000000	0.000000	17118.900000	0.000000	3285.500000	12114.600000	3790.800000	136.400000	0.000000	0.000000	0.000000	
28389.000000	354.555556	9510.500000	80.666667	1825.277778	6730.333333	2106.000000	0.000000	212.611111	212.611111	80.666667	
28423.000000	319.100000	8559.450000	72.600000	1642.750000	6057.300000	1895.400000	6.700000	191.350000	191.350000	72.600000	
28449.000000	319.100000	8559.450000	72.600000	1642.750000	6057.300000	1895.400000	6.700000	191.350000	191.350000	72.600000	
28467.000000	319.100000	8559.450000	72.600000	1642.750000	6057.300000	1895.400000	6.700000	191.350000	191.350000	72.600000	
28479.000000	455.857143	12227.785714	0.000000	2346.785714	8653.285714	2707.714286	0.000000	273.357143	273.357143	0.000000	
28492.000000	319.100000	8559.450000	117.500000	1642.750000	6057.300000	1895.400000	117.500000	191.350000	191.350000	117.500000	
30829.000000	797.750000	21398.625000	0.000000	0.000000	15143.250000	4695.500000	0.000000	0.000000	0.000000	0.000000	
31047.000000	0.000000	17118.900000	127.800000	7241.500000	12114.600000	3756.400000	0.000000	0.000000	0.000000	0.000000	
31060.000000	65.437500	10699.312500	79.875000	4525.937500	7571.625000	2347.750000	0.000000	0.000000	65.437500	301.625000	
31100.000000	65.437500	10699.312500	79.875000	4525.937500	7571.625000	2347.750000	0.000000	0.000000	65.437500	301.625000	
31516.000000	52.350000	8559.450000	63.900000	3620.750000	6057.300000	1878.200000	404.050000	404.050000	52.350000	241.300000	
31566.000000	52.350000	8559.450000	63.900000	3620.750000	6057.300000	1878.200000	404.050000	404.050000	52.350000	241.300000	
31567.000000	52.350000	8559.450000	63.900000	3620.750000	6057.300000	1878.200000	404.050000	404.050000	52.350000	241.300000	
31569.000000	52.350000	8559.450000	63.900000	3620.750000	6057.300000	1878.200000	404.050000	404.050000	52.350000	241.300000	
31585.000000	0.000000	12227.785714	0.000000	5172.500000	8653.285714	2683.142857	577.214286	577.214286	0.000000	344.714286	
35348.000000	1119.555556	9510.500000	409.500000	4023.055556	6730.333333	2086.888889	448.944444	448.944444	1119.555556	0.000000	
35349.000000	1259.500000	10699.312500	460.687500	4525.937500	7571.625000	2347.750000	0.000000	0.000000	1259.500000	108.687500	
37087.000000	1119.555556	9510.500000	409.500000	4023.055556	6730.333333	2086.888889	813.833333	813.833333	1119.555556	0.000000	
37092.000000	1119.555556	9510.500000	409.500000	4023.055556	6730.333333	2086.888889	813.833333	813.833333	1119.555556	0.000000	
37096.000000	1119.555556	9510.500000	409.500000	4023.055556	6730.333333	2086.888889	813.833333	813.833333	1119.555556	0.000000	
37137.000000	1007.600000	8559.450000	368.550000	3620.750000	6057.300000	1878.200000	732.450000	732.450000	1007.600000	3.550000	
37167.000000	1439.428571	11676.571429	0.000000	5172.500000	8653.285714	0.000000	1046.357143	1046.357143	1439.428571	0.000000	
49918.000000	0.000000	16347.200000	1291.300000	7241.500000	12114.600000	2163.600000	0.000000	0.000000	0.000000	0.000000	
49921.000000	512.166667	9081.777778	717.388889	4023.055556	6730.333333	1202.000000	8.833333	0.000000	512.166667	8.833333	
50077.000000	658.500000	11676.571429	0.000000	5172.500000	8653.285714	1545.428571	0.000000	597.142857	658.500000	0.000000	
50089.000000	460.950000	8173.600000	281.350000	3620.750000	6057.300000	1081.800000	435.050000	418.000000	460.950000	281.350000	
51708.000000	460.950000	8173.600000	281.350000	3620.750000	6057.300000	1081.800000	435.050000	418.000000	460.950000	281.350000	
51765.000000	460.950000	8173.600000	281.350000	3620.750000	6057.300000	1081.800000	435.050000	418.000000	460.950000	281.350000	
51769.000000	460.950000	8173.600000	281.350000	3620.750000	6057.300000	1081.800000	435.050000	418.000000	460.950000	281.350000	
51773.000000	460.950000	8173.600000	281.350000	3620.750000	6057.300000	1081.800000	435.050000	418.000000	460.950000	281.350000	
51776.000000	460.950000	8173.600000	281.350000	3620.750000	6057.300000	1081.800000	435.050000	418.000000	460.950000	281.350000	
54017.000000	576.187500	10217.000000	0.000000	4525.937500	7571.625000	1352.250000	543.812500	522.500000	576.187500	0.000000	
54341.000000	512.166667	9081.777778	20.166667	4023.055556	6730.333333	1202.000000	483.388889	0.000000	512.166667	20.166667	
54380.000000	658.500000	11676.571429	0.000000	5172.500000	8653.285714	0.000000	621.500000	24.071429	658.500000	0.000000	
54487.000000	512.166667	9081.777778	332.666667	4023.055556	6730.333333	5854.888889	0.000000	18.722222	512.166667	10.611111	
54571.000000	0.000000	16347.200000	598.800000	7241.500000	12114.600000	10538.800000	0.000000	0.000000	0.000000	0.000000	
54937.000000	3148.350000	8173.600000	299.400000	3620.750000	6057.300000	5269.400000	27.050000	35.850000	3374.550000	267.350000	
54952.000000	3148.350000	8173.600000	299.400000	3620.750000	6057.300000	5269.400000	27.050000	35.850000	3374.550000	267.350000	
55097.000000	3498.166667	9081.777778	332.666667	4023.055556	6730.333333	5854.888889	0.000000	39.833333	3749.500000	297.055556	
55128.000000	3935.437500	10217.000000	374.250000	4525.937500	7571.625000	6586.750000	0.000000	0.000000	4218.187500	334.187500	
56327.000000	3498.166667	9081.777778	332.666667	4023.055556	6730.333333	5854.888889	0.000000	322.000000	3749.500000	297.055556	
57019.000000	3498.166667	9081.777778	332.666667	4023.055556	6730.333333	5854.888889	0.000000	322.000000	3749.500000	297.055556	
57836.000000	3935.437500	10217.000000	0.000000	4525.937500	7571.625000	6586.750000	149.750000	362.250000	4218.187500	0.000000	
57847.000000	3148.350000	8173.600000	38.250000	3620.750000	6057.300000	5269.400000	119.800000	289.800000	3374.550000	38.250000	
58601.000000	3935.437500	10217.000000	0.000000	4525.937500	7571.625000	6586.750000	149.750000	362.250000	4218.187500	0.000000	
58650.000000	5247.250000	13622.666667	0.000000	6034.583333	10095.500000	8782.333333	0.000000	0.000000	5624.250000	0.000000	
58703.000000	3935.437500	10217.000000	0.000000	4525.937500	7571.625000	6586.750000	3.375000	3.375000	4218.187500	0.000000	
58704.000000	3935.437500	10217.000000	1.500000	4525.937500	7571.625000	6586.750000	0.000000	0.000000	4218.187500	1.500000	
58713.000000	3498.166667	9081.777778	1.333333	4023.055556	6730.333333	5854.888889	43.888889	0.000000	3749.500000	1.333333	
58718.000000	3935.437500	10217.000000	0.000000	4525.937500	7571.625000	6586.750000	49.375000	48.500000	4218.187500	0.000000	
59102.000000	3148.350000	8173.600000	19.350000	3620.750000	6057.300000	5269.400000	39.500000	38.800000	3374.550000	19.350000	
